individualID,specimenID,specimenIdSource,organ,tissue,BrodmannArea,sampleStatus,tissueWeight,tissueVolume,nucleicAcidSource,cellType,fastingState,isPostMortem,samplingAge,samplingAgeUnits,visitNumber,assay,exclude,excludeReason,samplingDate,platform,RIN,rnaBatch,libraryBatch,sequencingBatch,libraryPrep,libraryPreparationMethod,isStranded,readStrandOrigin,runType,readLength,notes
R1028639,243_120426,"",brain,dorsolateral prefrontal cortex,"","",,,bulk cell,"",,,"",,,rnaSeq,,"",,,6.4,,4,4,polyAselection,,True,,pairedEnd,101,data contribution batch 1
R1022980,687_120604,"",brain,dorsolateral prefrontal cortex,"","",,,bulk cell,"",,,"",,,rnaSeq,,"",,,5.6,,4,4,polyAselection,,True,,pairedEnd,101,data contribution batch 1
R1020037,68_120417,"",brain,dorsolateral prefrontal cortex,"","",,,bulk cell,"",,,"",,,rnaSeq,,"",,,8.8,,1,1,polyAselection,,True,,pairedEnd,101,data contribution batch 1
R1015854,563_120517,"",brain,dorsolateral prefrontal cortex,"","",,,bulk cell,"",,,"",,,rnaSeq,,"",,,8.3,,1,1,polyAselection,,True,,pairedEnd,101,data contribution batch 1
R1234575,357_120502,"",brain,dorsolateral prefrontal cortex,"","",,,bulk cell,"",,,"",,,rnaSeq,,"",,IlluminaNovaseq6000,6,,,9,polyAselection,TruSeq,True,reverse,pairedEnd,101,data contribution batch 2
R1188174,313_120501,"",brain,dorsolateral prefrontal cortex,"","",,,bulk cell,"",,,"",,,rnaSeq,,"",,IlluminaNovaseq6000,5.5,,,9,polyAselection,TruSeq,True,reverse,pairedEnd,101,data contribution batch 2
R5816648,16_120410,"",brain,dorsolateral prefrontal cortex,"","",,,bulk cell,"",,,"",,,rnaSeq,,"",,IlluminaNovaseq6000,7.1,,,9,polyAselection,TruSeq,True,reverse,pairedEnd,101,data contribution batch 2
R7599755,59_120417,"",brain,dorsolateral prefrontal cortex,"","",,,bulk cell,"",,,"",,,rnaSeq,,"",,IlluminaNovaseq6000,7,,,9,polyAselection,TruSeq,True,reverse,pairedEnd,101,data contribution batch 2
R6686111,373_120502,"",brain,dorsolateral prefrontal cortex,"","",,,bulk cell,"",,,"",,,rnaSeq,,"",,IlluminaNovaseq6000,8.2,,,9,polyAselection,TruSeq,True,reverse,pairedEnd,101,data contribution batch 2
R1808099,106_120418,"",brain,dorsolateral prefrontal cortex,"","",,,bulk cell,"",,,"",,,rnaSeq,,"",,IlluminaNovaseq6000,7.5,,,9,polyAselection,TruSeq,True,reverse,pairedEnd,101,data contribution batch 2
R7944883,264_120426,"",brain,dorsolateral prefrontal cortex,"","",,,bulk cell,"",,,"",,,rnaSeq,,"",,IlluminaNovaseq6000,8,,,9,polyAselection,TruSeq,True,reverse,pairedEnd,101,data contribution batch 2
